Rank,Symbol,Name,Country,SmartScore,SmartProb,FundaScore,FundaProb,TechScore,TechProb,SentiScore,SentiProb,RiskScore,RiskProb,Sector,Industry,Accurate,pe,market_cap,perf_week,perf_month,perf_quarter,perf_halfyear,perf_year,perf_ytd,roe,dividend_yield,roi,high_52w,low_52w,avg_volume,beta
<b>53</b>,<b><a href='https://tossinvest.com/stocks/FCNCA/analytics'>FCNCA</a></b>,"First Citizens Bancshares, Inc (NC)",US,9,45.8%,9,46.8%,9,46.1%,9,44.8%,6,1.3%,Financials,Banks,buy,11.18,29.27B,<span style='color: red;'>-0.39%</span>,<span style='color: red;'>-5.11%</span>,<span style='color: red;'>-3.71%</span>,<span style='color: green;'>4.80%</span>,<span style='color: green;'>40.26%</span>,<span style='color: green;'>0.19%</span>,12.77%,0.37%,4.61%,-12.26%,43.45%,76.29K,0.80
<b>54</b>,<b><a href='https://tossinvest.com/stocks/MS/analytics'>MS</a></b>,Morgan Stanley,US,9,45.8%,9,48.5%,9,44.7%,9,43.6%,6,1.1%,Financials,Capital Markets,buy,16.90,216.43B,<span style='color: red;'>-2.02%</span>,<span style='color: red;'>-2.16%</span>,<span style='color: green;'>0.21%</span>,<span style='color: green;'>32.03%</span>,<span style='color: green;'>55.31%</span>,<span style='color: green;'>6.86%</span>,13.16%,3.00%,3.29%,-5.41%,59.12%,6.24M,1.34
<b>55</b>,<b><a href='https://tossinvest.com/stocks/BSX/analytics'>BSX</a></b>,Boston Scientific Corp,US,9,45.7%,6,40.3%,9,44.2%,9,45.2%,6,0.8%,Health Care,Health Care Equipment ...,buy,84.46,155.49B,<span style='color: red;'>-0.39%</span>,<span style='color: green;'>4.41%</span>,<span style='color: green;'>21.12%</span>,<span style='color: green;'>33.91%</span>,<span style='color: green;'>60.07%</span>,<span style='color: green;'>17.96%</span>,9.03%,,5.95%,-1.69%,61.26%,5.39M,0.78
<b>56</b>,<b><a href='https://tossinvest.com/stocks/WF/analytics'>WF</a></b>,Woori Financial Group Inc ADR,KR,9,45.7%,9,47.5%,6,40.4%,7,41.4%,6,1.1%,Financials,Banks,False,4.65,8.81B,<span style='color: green;'>3.23%</span>,<span style='color: green;'>9.16%</span>,<span style='color: green;'>5.36%</span>,<span style='color: red;'>-1.73%</span>,<span style='color: green;'>7.62%</span>,<span style='color: green;'>14.40%</span>,9.54%,7.35%,4.69%,-6.04%,25.48%,62.24K,1.12
<b>57</b>,<b><a href='https://tossinvest.com/stocks/AFRM/analytics'>AFRM</a></b>,Affirm Holdings Inc,US,9,45.7%,7,41.1%,9,44.8%,7,41.8%,4,2.8%,Information Technology,IT Services,False,,23.73B,<span style='color: red;'>-1.39%</span>,<span style='color: green;'>31.45%</span>,<span style='color: green;'>32.88%</span>,<span style='color: green;'>145.91%</span>,<span style='color: green;'>95.62%</span>,<span style='color: green;'>22.51%</span>,-7.34%,,-2.03%,-9.59%,235.33%,7.00M,3.68
<b>58</b>,<b><a href='https://tossinvest.com/stocks/LYV/analytics'>LYV</a></b>,Live Nation Entertainment Inc,US,9,45.7%,7,41.0%,9,45.9%,7,41.2%,5,1.3%,Communication Services,Entertainment,buy,163.10,35.12B,<span style='color: green;'>1.76%</span>,<span style='color: green;'>9.65%</span>,<span style='color: green;'>18.08%</span>,<span style='color: green;'>57.80%</span>,<span style='color: green;'>63.35%</span>,<span style='color: green;'>17.62%</span>,90.38%,,2.98%,-1.79%,75.46%,2.00M,1.39
<b>59</b>,<b><a href='https://tossinvest.com/stocks/SHOP/analytics'>SHOP</a></b>,Shopify Inc,CA,9,45.6%,7,41.1%,9,45.5%,6,40.2%,5,2.1%,Information Technology,IT Services,buy,79.43,159.55B,<span style='color: green;'>2.47%</span>,<span style='color: green;'>16.17%</span>,<span style='color: green;'>13.81%</span>,<span style='color: green;'>64.28%</span>,<span style='color: green;'>51.89%</span>,<span style='color: green;'>16.12%</span>,19.58%,0.67%,17.19%,-4.57%,154.26%,7.33M,2.60
<b>60</b>,<b><a href='https://tossinvest.com/stocks/ORCL/analytics'>ORCL</a></b>,Oracle Corp,US,9,45.5%,8,42.4%,9,47.3%,8,43.1%,5,1.8%,Information Technology,Software,buy,43.07,492.26B,<span style='color: green;'>2.19%</span>,<span style='color: green;'>1.99%</span>,<span style='color: red;'>-4.21%</span>,<span style='color: green;'>27.61%</span>,<span style='color: green;'>58.12%</span>,<span style='color: green;'>5.62%</span>,132.00%,0.89%,12.34%,-11.25%,65.24%,10.80M,1.06
<b>61</b>,<b><a href='https://tossinvest.com/stocks/WMB/analytics'>WMB</a></b>,Williams Cos Inc,US,9,45.5%,5,38.9%,9,47.1%,8,43.1%,6,0.9%,Energy,"Oil, Gas & Consumable ...",False,24.86,71.25B,<span style='color: green;'>6.62%</span>,<span style='color: red;'>-3.60%</span>,<span style='color: green;'>4.26%</span>,<span style='color: green;'>32.35%</span>,<span style='color: green;'>75.95%</span>,<span style='color: green;'>8.00%</span>,17.92%,3.44%,5.98%,-4.90%,72.67%,7.42M,1.08
<b>62</b>,<b><a href='https://tossinvest.com/stocks/HDB/analytics'>HDB</a></b>,HDFC Bank Ltd. ADR,IN,9,45.5%,9,43.8%,6,40.6%,7,42.0%,6,1.3%,Financials,Banks,buy,18.26,151.93B,<span style='color: red;'>-1.16%</span>,<span style='color: green;'>1.22%</span>,<span style='color: red;'>-3.75%</span>,<span style='color: red;'>-1.14%</span>,<span style='color: green;'>12.02%</span>,<span style='color: red;'>-6.70%</span>,14.96%,1.19%,6.16%,-13.02%,12.42%,2.80M,0.93
<b>63</b>,<b><a href='https://tossinvest.com/stocks/SCHW/analytics'>SCHW</a></b>,Charles Schwab Corp,US,9,45.5%,9,45.8%,8,43.4%,6,39.7%,5,1.7%,Financials,Capital Markets,buy,27.40,152.51B,<span style='color: red;'>-0.55%</span>,<span style='color: green;'>1.11%</span>,<span style='color: green;'>1.48%</span>,<span style='color: green;'>25.20%</span>,<span style='color: green;'>28.43%</span>,<span style='color: green;'>10.57%</span>,13.30%,1.36%,7.74%,-3.16%,34.13%,10.02M,0.97
<b>64</b>,<b><a href='https://tossinvest.com/stocks/SE/analytics'>SE</a></b>,Sea Ltd ADR,SG,9,45.4%,7,41.1%,9,46.2%,5,38.7%,4,2.8%,Communication Services,Entertainment,buy,793.01,70.24B,<span style='color: green;'>1.67%</span>,<span style='color: green;'>12.42%</span>,<span style='color: green;'>29.04%</span>,<span style='color: green;'>61.53%</span>,<span style='color: green;'>195.24%</span>,<span style='color: green;'>25.19%</span>,1.36%,,0.84%,-4.56%,206.98%,3.38M,1.63
<b>65</b>,<b><a href='https://tossinvest.com/stocks/KNTK/analytics'>KNTK</a></b>,Kinetik Holdings Inc,US,9,45.4%,6,39.9%,9,47.5%,6,40.4%,6,1.2%,Energy,"Oil, Gas & Consumable ...",buy,21.94,9.36B,<span style='color: red;'>-3.26%</span>,<span style='color: red;'>-10.58%</span>,<span style='color: green;'>3.03%</span>,<span style='color: green;'>35.74%</span>,<span style='color: green;'>74.26%</span>,<span style='color: green;'>4.81%</span>,,5.14%,9.90%,-12.07%,80.31%,622.87K,2.84
<b>66</b>,<b><a href='https://tossinvest.com/stocks/DASH/analytics'>DASH</a></b>,DoorDash Inc,US,9,45.4%,7,42.1%,9,46.0%,8,43.5%,5,1.5%,Consumer Discretionary,Internet & Direct Mark...,False,763.21,84.96B,<span style='color: green;'>0.68%</span>,<span style='color: green;'>13.56%</span>,<span style='color: green;'>19.37%</span>,<span style='color: green;'>56.11%</span>,<span style='color: green;'>74.34%</span>,<span style='color: green;'>20.57%</span>,1.68%,,1.49%,-6.04%,103.63%,2.99M,1.73
<b>67</b>,<b><a href='https://tossinvest.com/stocks/KB/analytics'>KB</a></b>,KB Financial Group Inc ADR,KR,9,45.4%,9,48.1%,6,40.3%,5,39.6%,6,1.3%,Financials,Banks,buy,6.76,21.88B,<span style='color: green;'>1.83%</span>,<span style='color: red;'>-7.75%</span>,<span style='color: red;'>-9.57%</span>,<span style='color: red;'>-11.34%</span>,<span style='color: green;'>21.11%</span>,<span style='color: green;'>1.93%</span>,8.33%,4.05%,4.35%,-20.43%,27.22%,198.52K,0.96
<b>68</b>,<b><a href='https://tossinvest.com/stocks/CIEN/analytics'>CIEN</a></b>,CIENA Corp,US,9,45.3%,6,40.4%,9,45.9%,7,41.4%,5,2.1%,Information Technology,Communications Equipment,buy,150.58,12.33B,<span style='color: red;'>-2.65%</span>,<span style='color: red;'>-2.51%</span>,<span style='color: green;'>28.61%</span>,<span style='color: green;'>60.27%</span>,<span style='color: green;'>54.62%</span>,<span style='color: green;'>1.93%</span>,2.96%,,1.90%,-14.78%,99.65%,2.36M,0.89
<b>69</b>,<b><a href='https://tossinvest.com/stocks/RJF/analytics'>RJF</a></b>,"Raymond James Financial, Inc",US,9,45.2%,9,45.2%,9,45.1%,9,44.7%,6,1.2%,Financials,Capital Markets,buy,15.15,31.78B,<span style='color: red;'>-3.74%</span>,<span style='color: red;'>-8.62%</span>,<span style='color: red;'>-3.49%</span>,<span style='color: green;'>34.25%</span>,<span style='color: green;'>32.29%</span>,<span style='color: red;'>-0.17%</span>,19.07%,1.13%,13.90%,-11.04%,48.77%,1.24M,1.04
<b>70</b>,<b><a href='https://tossinvest.com/stocks/GILD/analytics'>GILD</a></b>,"Gilead Sciences, Inc",US,9,45.2%,6,40.5%,8,43.4%,5,39.7%,6,1.0%,Health Care,Biotechnology,False,296.66,137.13B,<span style='color: green;'>6.50%</span>,<span style='color: green;'>18.36%</span>,<span style='color: green;'>24.47%</span>,<span style='color: green;'>47.79%</span>,<span style='color: green;'>53.72%</span>,<span style='color: green;'>19.12%</span>,2.28%,2.94%,1.20%,2.06%,77.27%,6.95M,0.27
<b>71</b>,<b><a href='https://tossinvest.com/stocks/SAP/analytics'>SAP</a></b>,Sap SE ADR,DE,9,45.2%,7,41.8%,9,44.9%,6,40.5%,6,0.9%,Information Technology,Software,buy,100.89,331.05B,<span style='color: red;'>-1.05%</span>,<span style='color: green;'>6.92%</span>,<span style='color: green;'>26.11%</span>,<span style='color: green;'>31.45%</span>,<span style='color: green;'>64.79%</span>,<span style='color: green;'>16.94%</span>,7.12%,0.85%,6.19%,-1.97%,64.64%,960.76K,1.26
<b>72</b>,<b><a href='https://tossinvest.com/stocks/VFC/analytics'>VFC</a></b>,VF Corp,US,9,45.2%,6,40.9%,9,44.7%,5,39.7%,5,2.0%,Consumer Discretionary,"Textiles, Apparel & Lu...",buy,,10.32B,<span style='color: green;'>9.65%</span>,<span style='color: green;'>6.77%</span>,<span style='color: green;'>31.92%</span>,<span style='color: green;'>57.42%</span>,<span style='color: green;'>62.54%</span>,<span style='color: green;'>23.39%</span>,-16.13%,1.33%,-4.83%,-8.75%,140.73%,5.56M,1.50
<b>73</b>,<b><a href='https://tossinvest.com/stocks/SOFI/analytics'>SOFI</a></b>,SoFi Technologies Inc,US,9,45.2%,7,42.0%,8,42.2%,8,42.8%,4,2.4%,Financials,Consumer Finance,False,41.87,16.88B,<span style='color: green;'>5.35%</span>,<span style='color: red;'>-13.07%</span>,<span style='color: green;'>14.16%</span>,<span style='color: green;'>108.58%</span>,<span style='color: green;'>86.12%</span>,<span style='color: green;'>1.04%</span>,8.26%,,4.93%,-15.53%,158.90%,44.71M,1.78
<b>74</b>,<b><a href='https://tossinvest.com/stocks/UAL/analytics'>UAL</a></b>,United Airlines Holdings Inc,US,9,45.2%,7,41.3%,9,46.4%,7,41.5%,5,1.5%,Industrials,Airlines,buy,10.87,33.71B,<span style='color: red;'>-1.62%</span>,<span style='color: red;'>-7.27%</span>,<span style='color: green;'>12.42%</span>,<span style='color: green;'>142.01%</span>,<span style='color: green;'>144.08%</span>,<span style='color: green;'>5.55%</span>,28.63%,,7.43%,-11.65%,176.85%,5.63M,1.40
<b>75</b>,<b><a href='https://tossinvest.com/stocks/NI/analytics'>NI</a></b>,NiSource Inc,US,9,45.2%,5,39.4%,7,41.7%,8,43.2%,6,0.8%,Utilities,Multi-Utilities,False,24.70,18.79B,<span style='color: green;'>3.04%</span>,<span style='color: green;'>3.68%</span>,<span style='color: green;'>9.32%</span>,<span style='color: green;'>25.37%</span>,<span style='color: green;'>58.33%</span>,<span style='color: green;'>8.76%</span>,8.95%,2.81%,3.55%,-0.42%,57.09%,3.68M,0.52
<b>76</b>,<b><a href='https://tossinvest.com/stocks/TRGP/analytics'>TRGP</a></b>,Targa Resources Corp,US,9,45.2%,6,40.7%,9,46.8%,8,43.2%,6,1.1%,Energy,"Oil, Gas & Consumable ...",buy,36.88,44.64B,<span style='color: green;'>2.05%</span>,<span style='color: red;'>-5.76%</span>,<span style='color: green;'>4.42%</span>,<span style='color: green;'>41.67%</span>,<span style='color: green;'>111.16%</span>,<span style='color: green;'>14.68%</span>,48.48%,1.93%,7.82%,-6.32%,114.85%,1.61M,2.32
<b>77</b>,<b><a href='https://tossinvest.com/stocks/PRMB/analytics'>PRMB</a></b>,Primo Brands Corp,US,9,45.2%,7,41.3%,9,44.9%,6,40.0%,6,0.9%,,-,False,,12.36B,<span style='color: red;'>-2.37%</span>,<span style='color: red;'>-1.24%</span>,<span style='color: green;'>13.99%</span>,<span style='color: green;'>52.63%</span>,<span style='color: green;'>123.53%</span>,<span style='color: green;'>5.91%</span>,-3.43%,1.21%,-0.99%,-4.53%,138.59%,2.22M,1.11
<b>78</b>,<b><a href='https://tossinvest.com/stocks/KD/analytics'>KD</a></b>,Kyndryl Holdings Inc,US,9,45.1%,7,41.7%,9,43.6%,9,45.3%,5,1.6%,Information Technology,IT Services,False,71.13,9.25B,<span style='color: red;'>-3.43%</span>,<span style='color: green;'>1.56%</span>,<span style='color: green;'>42.34%</span>,<span style='color: green;'>68.82%</span>,<span style='color: green;'>85.35%</span>,<span style='color: green;'>14.86%</span>,12.09%,,2.96%,-8.87%,106.60%,2.33M,1.95
<b>79</b>,<b><a href='https://tossinvest.com/stocks/PPC/analytics'>PPC</a></b>,Pilgrim's Pride Corp,US,9,45.1%,5,39.4%,9,47.0%,5,38.5%,6,1.1%,Consumer Staples,Food Products,False,11.35,12.29B,<span style='color: green;'>3.00%</span>,<span style='color: green;'>16.44%</span>,<span style='color: green;'>0.97%</span>,<span style='color: green;'>18.52%</span>,<span style='color: green;'>81.58%</span>,<span style='color: green;'>14.21%</span>,28.70%,,14.22%,-9.31%,83.23%,1.10M,0.75
<b>80</b>,<b><a href='https://tossinvest.com/stocks/IBKR/analytics'>IBKR</a></b>,Interactive Brokers Group Inc,US,9,45.1%,8,42.5%,9,44.9%,9,43.6%,6,1.2%,Financials,Capital Markets,buy,32.58,95.49B,<span style='color: red;'>-1.82%</span>,<span style='color: green;'>17.20%</span>,<span style='color: green;'>25.57%</span>,<span style='color: green;'>85.92%</span>,<span style='color: green;'>117.54%</span>,<span style='color: green;'>27.92%</span>,19.20%,0.44%,3.68%,-4.45%,120.98%,1.44M,0.98
<b>81</b>,<b><a href='https://tossinvest.com/stocks/NET/analytics'>NET</a></b>,Cloudflare Inc,US,9,45.1%,8,42.3%,9,44.1%,7,41.9%,4,2.3%,Information Technology,IT Services,buy,,53.59B,<span style='color: red;'>-9.52%</span>,<span style='color: green;'>30.48%</span>,<span style='color: green;'>74.20%</span>,<span style='color: green;'>86.01%</span>,<span style='color: green;'>58.73%</span>,<span style='color: green;'>45.23%</span>,-8.71%,,-3.20%,-11.83%,136.08%,3.34M,1.28
<b>82</b>,<b><a href='https://tossinvest.com/stocks/CVLT/analytics'>CVLT</a></b>,Commvault Systems Inc,US,9,45.0%,6,40.3%,9,46.7%,8,42.8%,5,1.4%,Information Technology,Software,False,48.54,8.13B,<span style='color: green;'>3.55%</span>,<span style='color: green;'>12.72%</span>,<span style='color: green;'>9.70%</span>,<span style='color: green;'>23.16%</span>,<span style='color: green;'>97.14%</span>,<span style='color: green;'>22.51%</span>,74.05%,,58.15%,-2.75%,104.68%,415.33K,0.63
<b>83</b>,<b><a href='https://tossinvest.com/stocks/MET/analytics'>MET</a></b>,Metlife Inc,US,9,45.0%,7,42.0%,9,46.1%,9,43.8%,6,1.2%,Financials,Insurance,buy,13.88,57.02B,<span style='color: green;'>0.01%</span>,<span style='color: red;'>-4.77%</span>,<span style='color: red;'>-0.71%</span>,<span style='color: green;'>13.74%</span>,<span style='color: green;'>23.05%</span>,<span style='color: green;'>1.05%</span>,15.41%,2.74%,9.15%,-7.09%,22.94%,3.52M,1.03
<b>84</b>,<b><a href='https://tossinvest.com/stocks/PM/analytics'>PM</a></b>,Philip Morris International Inc,US,9,45.0%,6,40.3%,8,42.4%,7,41.4%,6,0.8%,Consumer Staples,Tobacco,False,33.52,235.67B,<span style='color: green;'>1.12%</span>,<span style='color: green;'>22.42%</span>,<span style='color: green;'>17.87%</span>,<span style='color: green;'>27.96%</span>,<span style='color: green;'>69.07%</span>,<span style='color: green;'>25.94%</span>,,3.70%,22.81%,0.23%,72.59%,5.16M,0.60
<b>85</b>,<b><a href='https://tossinvest.com/stocks/PRU/analytics'>PRU</a></b>,Prudential Financial Inc,US,9,45.0%,6,40.9%,5,39.1%,7,42.0%,6,1.2%,Financials,Insurance,buy,14.87,39.34B,<span style='color: green;'>0.29%</span>,<span style='color: red;'>-7.60%</span>,<span style='color: red;'>-11.87%</span>,<span style='color: red;'>-1.89%</span>,<span style='color: green;'>7.04%</span>,<span style='color: red;'>-6.24%</span>,9.79%,4.83%,5.52%,-14.88%,6.40%,1.56M,1.25
<b>86</b>,<b><a href='https://tossinvest.com/stocks/RL/analytics'>RL</a></b>,Ralph Lauren Corp,US,9,45.0%,6,41.0%,9,46.0%,8,42.9%,6,1.0%,Consumer Discretionary,"Textiles, Apparel & Lu...",buy,26.12,17.70B,<span style='color: green;'>4.94%</span>,<span style='color: green;'>15.65%</span>,<span style='color: green;'>37.49%</span>,<span style='color: green;'>72.27%</span>,<span style='color: green;'>60.48%</span>,<span style='color: green;'>24.04%</span>,27.57%,1.15%,15.39%,-0.98%,83.70%,722.67K,1.54
<b>87</b>,<b><a href='https://tossinvest.com/stocks/FRHC/analytics'>FRHC</a></b>,Freedom Holding Corp,KZ,9,45.0%,7,41.0%,9,44.8%,5,39.2%,6,1.1%,Financials,Capital Markets,False,28.90,9.36B,<span style='color: green;'>0.09%</span>,<span style='color: green;'>14.48%</span>,<span style='color: green;'>32.54%</span>,<span style='color: green;'>79.37%</span>,<span style='color: green;'>96.44%</span>,<span style='color: green;'>18.16%</span>,28.10%,,18.26%,-6.31%,141.28%,90.72K,1.07
<b>88</b>,<b><a href='https://tossinvest.com/stocks/DOCU/analytics'>DOCU</a></b>,DocuSign Inc,US,9,45.0%,6,40.8%,9,46.1%,8,42.7%,5,2.0%,Information Technology,Software,buy,17.76,17.41B,<span style='color: red;'>-2.37%</span>,<span style='color: red;'>-5.65%</span>,<span style='color: green;'>8.96%</span>,<span style='color: green;'>50.73%</span>,<span style='color: green;'>71.64%</span>,<span style='color: red;'>-4.16%</span>,68.48%,,48.16%,-20.08%,77.00%,3.03M,1.00
<b>89</b>,<b><a href='https://tossinvest.com/stocks/UNM/analytics'>UNM</a></b>,Unum Group,US,9,44.9%,7,41.5%,9,46.8%,9,45.4%,5,1.4%,Financials,Insurance,buy,7.90,13.66B,<span style='color: red;'>-0.47%</span>,<span style='color: red;'>-0.87%</span>,<span style='color: green;'>2.19%</span>,<span style='color: green;'>38.11%</span>,<span style='color: green;'>56.85%</span>,<span style='color: green;'>2.41%</span>,18.32%,2.42%,13.44%,-5.84%,54.59%,1.23M,0.74
<b>90</b>,<b><a href='https://tossinvest.com/stocks/FI/analytics'>FI</a></b>,"Fiserv, Inc",US,9,44.9%,6,40.6%,9,45.8%,9,45.4%,6,0.8%,Financials,Financial Services,False,43.56,133.37B,<span style='color: green;'>2.94%</span>,<span style='color: green;'>12.18%</span>,<span style='color: green;'>11.15%</span>,<span style='color: green;'>39.62%</span>,<span style='color: green;'>58.36%</span>,<span style='color: green;'>14.12%</span>,11.00%,,6.16%,-1.14%,60.59%,2.84M,0.95
<b>91</b>,<b><a href='https://tossinvest.com/stocks/FTNT/analytics'>FTNT</a></b>,Fortinet Inc,US,9,44.9%,6,40.9%,9,46.0%,7,41.9%,5,2.1%,Information Technology,Software,buy,50.51,87.54B,<span style='color: green;'>6.04%</span>,<span style='color: green;'>17.50%</span>,<span style='color: green;'>21.24%</span>,<span style='color: green;'>52.75%</span>,<span style='color: green;'>66.78%</span>,<span style='color: green;'>20.88%</span>,338.74%,,70.14%,-0.53%,109.29%,4.38M,0.98
<b>92</b>,<b><a href='https://tossinvest.com/stocks/ETR/analytics'>ETR</a></b>,Entergy Corp,US,9,44.9%,5,38.5%,9,45.6%,5,39.2%,6,0.9%,Utilities,Electric Utilities,False,35.20,36.96B,<span style='color: green;'>3.67%</span>,<span style='color: green;'>2.68%</span>,<span style='color: green;'>15.16%</span>,<span style='color: green;'>46.23%</span>,<span style='color: green;'>76.37%</span>,<span style='color: green;'>13.24%</span>,7.04%,2.82%,2.52%,-2.86%,72.41%,3.51M,0.69
<b>93</b>,<b><a href='https://tossinvest.com/stocks/SFM/analytics'>SFM</a></b>,Sprouts Farmers Market Inc,US,9,44.9%,6,40.6%,9,45.1%,7,42.1%,6,1.1%,Consumer Staples,Food & Staples Retailing,buy,49.12,16.98B,<span style='color: red;'>-0.40%</span>,<span style='color: green;'>15.51%</span>,<span style='color: green;'>19.58%</span>,<span style='color: green;'>71.65%</span>,<span style='color: green;'>221.29%</span>,<span style='color: green;'>33.63%</span>,28.56%,,12.24%,-5.13%,225.04%,1.30M,0.66
<b>94</b>,<b><a href='https://tossinvest.com/stocks/TSLA/analytics'>TSLA</a></b>,Tesla Inc,US,9,44.9%,7,41.9%,8,42.6%,6,39.8%,5,2.1%,Consumer Discretionary,Automobiles,False,173.87,1139.93B,<span style='color: green;'>5.32%</span>,<span style='color: red;'>-16.43%</span>,<span style='color: green;'>10.50%</span>,<span style='color: green;'>59.12%</span>,<span style='color: green;'>77.24%</span>,<span style='color: red;'>-12.24%</span>,10.52%,,8.56%,-27.46%,155.33%,80.26M,2.46
<b>95</b>,<b><a href='https://tossinvest.com/stocks/FFIV/analytics'>FFIV</a></b>,F5 Inc,US,9,44.8%,7,41.6%,9,45.1%,8,42.2%,6,1.0%,Information Technology,Communications Equipment,buy,30.31,17.56B,<span style='color: red;'>-1.93%</span>,<span style='color: green;'>13.77%</span>,<span style='color: green;'>27.79%</span>,<span style='color: green;'>55.12%</span>,<span style='color: green;'>67.04%</span>,<span style='color: green;'>21.13%</span>,19.51%,,17.10%,-2.68%,91.57%,560.52K,1.10
